Price,Close,High,Low,Open,Volume
Ticker,CRES.BA,CRES.BA,CRES.BA,CRES.BA,CRES.BA
Date,,,,,
2025-08-12,1415.9364013671875,1444.2551293945312,1392.337461344401,1415.9364013671875,187188
2025-08-13,1392.33740234375,1425.3759169756356,1368.7384633209745,1368.7384633209745,76773
2025-08-14,1330.980224609375,1401.7770450673204,1326.2604365788452,1392.337469006261,388597
2025-08-18,1349.859375,1382.8978911713286,1321.5406468531469,1340.419798951049,130111
2025-08-19,1307.3812255859375,1373.4582550379344,1297.941649949938,1354.5791037659353,1258661
2025-08-20,1307.3812255859375,1335.699952493936,1302.6614377679377,1316.820801221937,139100
2025-08-21,1345.1395263671875,1349.8593141790022,1302.6614360608553,1316.8207994962993,108059
2025-08-22,1382.8978271484375,1397.0571905663396,1340.4197368947314,1354.5791003126333,184982
2025-08-25,1345.1395263671875,1382.897828861705,1326.2603751199288,1368.738465426261,292887
2025-08-26,1345.1395263671875,1368.738465426261,1330.9801629317435,1340.4197385553728,337292
2025-08-27,1316.82080078125,1364.0186789454526,1302.6614373319894,1364.0186789454526,624241
2025-08-28,1316.82080078125,1335.699952046931,1307.3812251484096,1307.3812251484096,558417
2025-08-29,1279.0625,1330.9801660516605,1274.3427121771217,1321.540590405904,604274
2025-09-01,1250.7437744140625,1293.2218648658609,1231.864623102152,1279.062501381928,183868
2025-09-02,1274.3427734375,1293.221925636574,1198.8261646412036,1260.1834092881945,2266951
2025-09-03,1231.8646240234375,1297.9416536645415,1227.14483619193,1264.9031388439894,366071
2025-09-04,1250.7437744140625,1283.7822892099057,1194.1063204783313,1227.1448352741745,664275
2025-09-05,1260.183349609375,1279.0625009143844,1227.1448348256085,1250.7437739568702,503476
2025-09-08,1199.77001953125,1227.14478787618,1148.7963129579318,1198.8260620021144,707563
2025-09-09,1169.5634765625,1228.0888482710352,1167.6755613460957,1195.994289592161,381354
2025-09-10,1206.3778076171875,1212.041553192855,1159.179927819958,1198.8261468496307,304007
2025-09-11,1201.657958984375,1255.4635392374068,1184.6667231149966,1212.9854495639606,377957
2025-09-12,1183.7227783203125,1212.985462632856,1164.8436271509295,1203.5458870481646,330141
2025-09-15,1209.2095947265625,1219.5931275462285,1165.7875483897774,1179.9469113256855,234232
2025-09-16,1226.200927734375,1242.248207004186,1197.8821996111794,1227.1448853384816,309576
2025-09-17,1291.333984375,1305.493348238761,1209.2096739651863,1220.5371650561951,317070
2025-09-18,1287.55810546875,1306.43725657533,1245.0800154789451,1297.941638577369,596582
2025-09-19,1302.6614990234375,1309.2692022793535,1259.2394490559896,1288.5021349036176,252639
2025-09-22,1289.446044921875,1394.2253355414418,1255.463572288502,1345.1395417376807,557007
2025-09-23,1254.5196533203125,1358.354989562024,1221.4811372434044,1349.8593711422475,197153
2025-09-24,1254.5196533203125,1293.221915010405,1238.4723740829572,1293.221915010405,244210
2025-09-25,1244.1361083984375,1254.5196419283184,1222.4250837450506,1251.6877691474417,204980
2025-09-26,1267.7349853515625,1297.9416268491425,1224.3129381987912,1243.1920891347786,218958
2025-09-29,1299.82958984375,1310.2131232411946,1252.631710764456,1268.678989651416,166786
2025-09-30,1333.81201171875,1340.4197145368896,1278.1185165372879,1320.5966060824708,180754
2025-10-01,1350.80322265625,1377.2340334419769,1325.316369398585,1335.6999022072634,266372
2025-10-02,1381.0098876953125,1387.6175905072516,1293.221836050976,1368.7384396159966,255578
2025-10-03,1353.6351318359375,1411.2165426044119,1347.9713865144483,1387.6176037648731,97251
2025-10-06,1324.3724365234375,1364.0186534400336,1316.8207761583717,1364.0186534400336,177052
2025-10-07,1364.0186767578125,1367.794507004893,1308.3251806133758,1340.4197377135597,151442
2025-10-08,1380.06591796875,1387.6175782585926,1353.6351069543007,1353.6351069543007,200701
2025-10-09,1401.7769775390625,1467.854006783328,1380.0659536445182,1380.0659536445182,357107
2025-10-13,1360.2427978515625,1434.8154425637579,1331.9240720114883,1351.7471800995402,283277
2025-10-14,1329.09228515625,1415.936383334073,1302.6614726673472,1415.936383334073,281962
2025-10-15,1335.699951171875,1397.0571927451413,1319.6526726065592,1340.4197389852031,253865
2025-10-16,1340.4197998046875,1349.85937585965,1309.269198823311,1335.7000117772063,522799
2025-10-17,1397.0572509765625,1406.4968269966744,1332.8681340398014,1368.7385229162267,113639
2025-10-20,1407.440673828125,1448.9748050477344,1368.7384151916708,1368.7384151916708,196322
2025-10-21,1413.1044921875,1456.5265407116315,1387.617637618988,1411.216577034277,426633
2025-10-22,1401.7769775390625,1418.7682136304452,1362.1307599925033,1413.1044682666509,132338
2025-10-23,1381.953857421875,1419.7121595372266,1318.7087013786606,1407.4407113497373,679152
2025-10-24,1381.0098876953125,1405.552783853944,1363.0746943486201,1397.0571659528794,366161
2025-10-27,1635.87841796875,1669.8608894326132,1463.1341880274451,1490.5089567066684,1080162
2025-10-28,1660.4329833984375,1711.0279331916356,1573.0417798105825,1605.2385450918553,819461
2025-10-29,1661.35302734375,1723.9066953988781,1647.5543308962087,1665.0326413200285,573502
2025-10-30,1609.838134765625,1681.590892414196,1599.7191679412567,1665.0325725898483,214009
