Price,Close,High,Low,Open,Volume
Ticker,LOMA.BA,LOMA.BA,LOMA.BA,LOMA.BA,LOMA.BA
Date,,,,,
2025-08-12,3015.0,3115.0,2985.0,3010.0,237063
2025-08-13,2885.0,3085.0,2875.0,3030.0,470925
2025-08-14,2815.0,2900.0,2765.0,2890.0,446013
2025-08-18,2740.0,2835.0,2710.0,2835.0,363804
2025-08-19,2635.0,2780.0,2630.0,2760.0,444997
2025-08-20,2665.0,2720.0,2630.0,2635.0,205377
2025-08-21,2720.0,2760.0,2650.0,2700.0,135822
2025-08-22,2705.0,2820.0,2690.0,2765.0,589436
2025-08-25,2690.0,2740.0,2620.0,2700.0,1509255
2025-08-26,2700.0,2745.0,2640.0,2685.0,1557314
2025-08-27,2550.0,2775.0,2535.0,2775.0,703063
2025-08-28,2505.0,2605.0,2500.0,2600.0,895674
2025-08-29,2530.0,2540.0,2455.0,2520.0,146226
2025-09-01,2445.0,2560.0,2360.0,2540.0,191036
2025-09-02,2540.0,2550.0,2415.0,2530.0,858855
2025-09-03,2495.0,2575.0,2480.0,2570.0,483115
2025-09-04,2510.0,2555.0,2455.0,2520.0,811616
2025-09-05,2490.0,2565.0,2450.0,2550.0,635122
2025-09-08,2293.0,2469.0,2150.0,2320.0,549517
2025-09-09,2286.0,2377.0,2258.0,2295.0,527927
2025-09-10,2311.0,2375.0,2296.0,2300.0,677285
2025-09-11,2277.0,2351.0,2262.0,2315.0,461735
2025-09-12,2240.0,2306.0,2199.0,2300.0,224512
2025-09-15,2243.0,2289.0,2193.0,2239.0,630152
2025-09-16,2253.0,2340.0,2225.0,2300.0,398385
2025-09-17,2220.0,2302.0,2215.0,2260.0,366076
2025-09-18,2211.0,2239.0,2170.0,2230.0,856848
2025-09-19,2229.0,2270.0,2189.0,2215.0,1077760
2025-09-22,2344.0,2429.0,2250.0,2260.0,607895
2025-09-23,2242.0,2367.0,2180.0,2367.0,1234106
2025-09-24,2227.0,2308.0,2203.0,2255.0,1376168
2025-09-25,2192.0,2251.0,2122.0,2226.0,835630
2025-09-26,2243.0,2260.0,2188.0,2190.0,344666
2025-09-29,2251.0,2269.0,2220.0,2250.0,176427
2025-09-30,2255.0,2270.0,2190.0,2230.0,465924
2025-10-01,2227.0,2350.0,2220.0,2260.0,263824
2025-10-02,2307.0,2317.0,2206.0,2283.0,379970
2025-10-03,2273.0,2371.0,2244.0,2340.0,216704
2025-10-06,2302.0,2308.0,2227.0,2277.0,567410
2025-10-07,2336.0,2383.0,2284.0,2315.0,342906
2025-10-08,2403.0,2414.0,2321.0,2360.0,259394
2025-10-09,2456.0,2542.5,2400.0,2400.0,699938
2025-10-13,2398.0,2450.0,2356.0,2366.0,265757
2025-10-14,2310.0,2500.0,2278.0,2500.0,498738
2025-10-15,2321.0,2396.0,2272.0,2300.0,280943
2025-10-16,2332.0,2400.0,2282.0,2400.0,131426
