Price,Close,High,Low,Open,Volume
Ticker,MOLI.BA,MOLI.BA,MOLI.BA,MOLI.BA,MOLI.BA
Date,,,,,
2025-08-12,2577.119384765625,2614.1115290445573,2536.017002233478,2548.347716993122,12529
2025-08-13,2523.686279296875,2646.9934264937906,2482.583896897903,2573.009138175641,6495
2025-08-14,2408.599609375,2581.2296155076792,2363.386988721203,2519.576041888865,10658
2025-08-18,2400.379150390625,2531.906775069563,2363.3870059496735,2466.142962730094,10305
2025-08-19,2330.505126953125,2466.142991484788,2326.3948886339836,2383.938225101962,8453
2025-08-20,2351.056396484375,2449.702119413789,2330.5052042074135,2379.828065672121,8102
2025-08-21,2375.7177734375,2466.1430174091697,2326.3949130893166,2383.938250162197,5367
2025-08-22,2367.497314453125,2433.2611287434897,2305.843738555908,2433.2611287434897,6613
2025-08-25,2227.7490234375,2404.489259614276,2219.5285473362546,2371.6073552092944,16204
2025-08-26,2404.4892578125,2507.2452090010684,2120.8828325320515,2260.6309261485044,11534
2025-08-27,2244.190185546875,2433.2611535599817,2211.3082780663344,2375.717815469036,7439
2025-08-28,2268.8515625,2334.615375905797,2227.7491791213765,2334.615375905797,3608
2025-08-29,2248.30029296875,2285.292436728748,2149.654576275423,2281.1821985331926,3653
2025-09-01,2083.890869140625,2285.2925507735454,2038.6782467332346,2190.757067558093,24430
2025-09-02,2038.67822265625,2120.8829896988404,1956.473455613659,2100.3317979381927,26780
2025-09-03,1890.7095947265625,2133.213651441491,1878.3788799783458,2071.5600777004074,35318
2025-09-04,1944.1427001953125,1952.363176728908,1874.2686496597516,1894.8198409937402,16500
2025-09-05,1989.3553466796875,2046.8986831538934,1940.032486844654,1948.2529634838263,11075
2025-09-08,1890.7095947265625,1972.914359714674,1685.197682256284,1972.914359714674,15751
2025-09-09,1944.1427001953125,2161.9853283355906,1870.158411392954,1907.1505557941332,10016
2025-09-10,2293.512939453125,2383.9381807935706,1989.3553094898073,1989.3553094898073,49295
2025-09-11,2445.0,2630.0,2305.0,2310.0,40946
2025-09-12,2280.0,2550.0,2220.0,2550.0,16693
2025-09-15,2245.0,2345.0,2140.0,2280.0,10255
2025-09-16,2295.0,2450.0,2170.0,2255.0,23080
2025-09-17,2410.0,2540.0,2290.0,2370.0,31822
2025-09-18,2335.0,2520.0,2230.0,2400.0,33169
2025-09-19,2300.0,2335.0,2200.0,2335.0,18246
2025-09-22,2505.0,2780.0,2220.0,2220.0,41550
2025-09-23,2690.0,2800.0,2550.0,2560.0,40481
2025-09-24,2700.0,2900.0,2630.0,2650.0,33381
2025-09-25,2420.0,2745.0,2380.0,2745.0,39774
2025-09-26,2305.0,2460.0,2235.0,2410.0,22318
2025-09-29,2275.0,2350.0,2120.0,2330.0,13247
2025-09-30,2235.0,2345.0,2160.0,2320.0,13364
2025-10-01,2215.0,2350.0,2165.0,2240.0,14293
2025-10-02,2270.0,2395.0,2190.0,2240.0,14859
2025-10-03,2230.0,2385.0,2185.0,2300.0,24519
2025-10-06,2190.0,2290.0,2160.0,2200.0,21207
2025-10-07,2180.0,2250.0,2100.0,2200.0,50360
2025-10-08,2215.0,2290.0,2170.0,2185.0,35729
2025-10-09,2345.0,2450.0,2220.0,2250.0,27332
2025-10-13,2325.0,2400.0,2305.0,2400.0,7559
2025-10-14,2250.0,2425.0,2230.0,2380.0,20790
2025-10-15,2310.0,2380.0,2200.0,2250.0,23432
2025-10-16,2270.0,2350.0,2205.0,2300.0,9772
