Price,Close,High,Low,Open,Volume
Ticker,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA
Date,,,,,
2025-08-12,2910.0,2990.0,2870.0,2905.0,1116566
2025-08-13,2875.0,2980.0,2845.0,2905.0,666682
2025-08-14,2600.0,2890.0,2490.0,2890.0,4329954
2025-08-18,2635.0,2665.0,2505.0,2640.0,894336
2025-08-19,2475.0,2655.0,2445.0,2620.0,2435362
2025-08-20,2440.0,2525.0,2435.0,2475.0,1018275
2025-08-21,2440.0,2500.0,2400.0,2475.0,529094
2025-08-22,2415.0,2540.0,2410.0,2410.0,628332
2025-08-25,2210.0,2395.0,2200.0,2390.0,1990522
2025-08-26,2250.0,2295.0,2185.0,2215.0,999305
2025-08-27,2150.0,2235.0,2130.0,2210.0,1417757
2025-08-28,2135.0,2230.0,2125.0,2155.0,1233450
2025-08-29,2105.0,2140.0,2085.0,2140.0,605610
2025-09-01,2085.0,2115.0,2000.0,2115.0,799817
2025-09-02,2125.0,2140.0,1995.0,2095.0,1865211
2025-09-03,2055.0,2180.0,2030.0,2150.0,2145752
2025-09-04,2160.0,2205.0,2045.0,2055.0,1525518
2025-09-05,2215.0,2250.0,2085.0,2200.0,2231088
2025-09-08,1758.0,2000.0,1740.0,2000.0,3478031
2025-09-09,1669.0,1850.0,1660.0,1780.0,1776945
2025-09-10,1792.0,1824.0,1700.0,1700.0,1934484
2025-09-11,1704.0,1832.0,1694.0,1820.0,3546582
2025-09-12,1614.0,1750.0,1571.0,1750.0,4689125
2025-09-15,1599.0,1670.0,1574.0,1628.0,2515569
2025-09-16,1622.0,1695.0,1596.0,1650.0,1064115
2025-09-17,1672.0,1702.0,1630.0,1630.0,1274066
2025-09-18,1574.0,1680.0,1520.0,1670.0,2253553
2025-09-19,1551.0,1622.0,1496.0,1550.0,1381817
2025-09-22,1797.0,1825.0,1661.0,1690.0,2793523
2025-09-23,1742.0,1850.0,1713.0,1850.0,2614572
2025-09-24,1778.0,1930.0,1759.0,1805.0,2388968
2025-09-25,1641.0,1750.0,1631.0,1750.0,1612670
2025-09-26,1581.0,1704.0,1570.0,1633.0,2105612
2025-09-29,1591.0,1629.0,1554.0,1600.0,1380399
2025-09-30,1517.0,1620.0,1502.0,1600.0,2038492
2025-10-01,1465.0,1572.0,1461.0,1520.0,3617583
2025-10-02,1554.0,1558.0,1431.0,1464.0,2483540
2025-10-03,1531.0,1599.0,1490.0,1544.0,2337789
2025-10-06,1550.0,1563.0,1477.0,1531.0,1828298
2025-10-07,1515.0,1595.0,1507.0,1595.0,1239791
2025-10-08,1544.0,1553.0,1485.0,1520.0,974509
2025-10-09,1730.0,1735.0,1545.0,1545.0,2755829
2025-10-13,1898.0,1920.0,1845.0,1855.0,2268952
2025-10-14,1751.0,1950.0,1663.0,1895.0,5464748
2025-10-15,1830.0,1900.0,1746.0,1790.0,1534623
2025-10-16,1843.0,1890.0,1795.0,1806.0,573517
2025-10-17,1953.0,2000.0,1845.0,1875.0,1695872
2025-10-20,1929.0,2100.0,1889.0,1968.0,2482770
2025-10-21,2001.0,2085.0,1898.0,1925.0,2221456
2025-10-22,1942.0,2003.0,1890.0,1935.0,2764539
2025-10-23,2129.0,2163.0,1905.0,1950.0,2377180
