Date,Close,High,Low,Open,Volume
2025-08-12,45100.0,46275.0,44775.0,45500.0,680875
2025-08-13,44800.0,45550.0,44300.0,45050.0,488460
2025-08-14,42925.0,44625.0,41925.0,44500.0,628666
2025-08-18,43975.0,44700.0,42600.0,42600.0,484061
2025-08-19,41775.0,44025.0,41625.0,43600.0,611661
2025-08-20,41125.0,42600.0,41025.0,41775.0,655275
2025-08-21,41750.0,42200.0,41000.0,41200.0,319716
2025-08-22,42500.0,42900.0,41800.0,42250.0,309623
2025-08-25,41025.0,42450.0,40825.0,42000.0,757578
2025-08-26,41825.0,42000.0,40500.0,41000.0,310893
2025-08-27,41200.0,42000.0,41100.0,41850.0,540964
2025-08-28,41575.0,42800.0,41200.0,41200.0,676839
2025-08-29,41300.0,41800.0,40675.0,41575.0,352642
2025-09-01,40450.0,41300.0,40150.0,41300.0,194705
2025-09-02,41550.0,41650.0,39500.0,40425.0,580675
2025-09-03,40650.0,42050.0,40150.0,41000.0,754486
2025-09-04,42525.0,42700.0,40425.0,41000.0,683759
2025-09-05,42875.0,43725.0,41600.0,42200.0,584925
2025-09-08,37860.0,39740.0,36400.0,37500.0,1377767
2025-09-09,38600.0,40060.0,38000.0,38200.0,808166
2025-09-10,41120.0,41600.0,38800.0,38800.0,590144
2025-09-11,40880.0,41700.0,40600.0,41200.0,416272
2025-09-12,40200.0,41600.0,39620.0,41000.0,520388
2025-09-15,40040.0,41000.0,39400.0,40500.0,482501
2025-09-16,40980.0,41500.0,40040.0,40400.0,346363
2025-09-17,40840.0,41560.0,40520.0,41080.0,374691
2025-09-18,38060.0,40600.0,37940.0,40400.0,985585
2025-09-19,37080.0,38920.0,35520.0,38200.0,1321800
2025-09-22,38880.0,41000.0,37760.0,38300.0,982643
2025-09-23,39040.0,40180.0,37840.0,40000.0,922981
2025-09-24,38700.0,40960.0,38560.0,40600.0,855983
2025-09-25,37600.0,38420.0,37060.0,38420.0,470005
2025-09-26,38380.0,38900.0,37220.0,38500.0,758479
2025-09-29,37780.0,38900.0,37320.0,38500.0,230527
2025-09-30,37380.0,37800.0,36320.0,37800.0,687063
2025-10-01,37000.0,37800.0,36920.0,37400.0,554662
2025-10-02,37160.0,37860.0,35940.0,37620.0,1024026
2025-10-03,36820.0,37520.0,36320.0,37500.0,395411
2025-10-06,37560.0,37900.0,36220.0,37020.0,551682
2025-10-07,37520.0,38000.0,37100.0,37800.0,400537
2025-10-08,37720.0,37800.0,36500.0,37520.0,701141
2025-10-09,39120.0,40160.0,37800.0,37800.0,792005
2025-10-13,39760.0,40420.0,39500.0,40100.0,346165
2025-10-14,38460.0,41640.0,37500.0,39620.0,1387831
2025-10-15,38700.0,40440.0,38000.0,38580.0,1105332
2025-10-16,39120.0,39300.0,38400.0,39280.0,547010
2025-10-17,40260.0,40300.0,39100.0,39200.0,362429
2025-10-20,39520.0,41200.0,39200.0,40200.0,578784
2025-10-21,39800.0,41640.0,38600.0,40300.0,682434
2025-10-22,39820.0,40200.0,38780.0,39900.0,894788
2025-10-23,41740.0,42460.0,40000.0,40000.0,751565
2025-10-24,42280.0,44000.0,41720.0,41740.0,623422
2025-10-27,48700.0,51900.0,46820.0,47900.0,1969918
2025-10-28,50625.0,51775.0,48020.0,48100.0,1472967
2025-10-29,51975.0,53125.0,50000.0,50700.0,1569305
2025-10-30,51650.0,52400.0,50625.0,51750.0,850388
2025-10-31,54600.0,55000.0,51350.0,51350.0,1162039
2025-11-03,56050.0,57575.0,54600.0,54600.0,1317513
2025-11-04,55375.0,56050.0,53775.0,55675.0,978945
2025-11-05,55600.0,57000.0,54850.0,55400.0,875786
2025-11-06,54625.0,56525.0,54250.0,55700.0,279301
2025-11-07,54300.0,55075.0,53000.0,54575.0,848510
2025-11-10,55875.0,55950.0,53125.0,54750.0,864161
2025-11-11,56050.0,56675.0,55000.0,55800.0,392588
2025-11-12,55875.0,56475.0,55275.0,55550.0,465748
2025-11-13,54975.0,56300.0,54400.0,55875.0,399136
2025-11-14,58150.0,59300.0,53000.0,54675.0,798922
2025-11-17,56850.0,58575.0,56725.0,58200.0,501962
2025-11-18,57775.0,57975.0,55225.0,56900.0,449909
2025-11-19,56550.0,58000.0,56425.0,57100.0,450406
2025-11-20,55800.0,57800.0,55000.0,56725.0,500241
2025-11-21,53975.0,55950.0,53300.0,55950.0,236215
2025-11-25,54575.0,56000.0,52500.0,53700.0,769108
2025-11-26,55725.0,56000.0,54000.0,54025.0,416741
2025-11-27,56175.0,56775.0,55800.0,55850.0,106514
2025-11-28,56100.0,56675.0,55800.0,56100.0,333014
2025-12-01,55700.0,56500.0,55325.0,56100.0,102168
2025-12-02,55575.0,56400.0,55250.0,55775.0,350907
2025-12-03,56700.0,56875.0,55500.0,55700.0,104176
2025-12-04,55950.0,57500.0,55875.0,56725.0,321298
2025-12-05,54975.0,57100.0,54750.0,56225.0,417812
2025-12-09,53950.0,55350.0,53300.0,55000.0,232614
2025-12-10,54400.0,54850.0,53250.0,53300.0,282757
2025-12-11,53350.0,54375.0,52625.0,54375.0,394731
2025-12-12,52850.0,54000.0,52400.0,53850.0,273607
2025-12-15,53550.0,53900.0,52500.0,53200.0,389814
2025-12-16,53200.0,54350.0,52275.0,53600.0,210964
2025-12-17,53200.0,54050.0,52550.0,53275.0,318957
2025-12-18,54750.0,55000.0,51650.0,52900.0,479210
2025-12-19,54675.0,55750.0,54600.0,54900.0,309999
2025-12-22,55125.0,55625.0,54900.0,55000.0,212463
2025-12-23,55100.0,56450.0,54900.0,55100.0,281417
2025-12-24,54900.0,55600.0,54550.0,55200.0,27914
2025-12-26,54600.0,55425.0,54500.0,54900.0,148572
2025-12-29,55850.0,56850.0,55025.0,55025.0,391425
2025-12-30,54600.0,56275.0,54450.0,55900.0,427214
2026-01-02,56450.0,56575.0,54550.0,55550.0,210871
2026-01-05,55275.0,56300.0,54175.0,56100.0,408349
2026-01-06,54375.0,56225.0,54200.0,55550.0,463773
2026-01-07,51100.0,53925.0,51000.0,53900.0,767522
2026-01-08,51925.0,52000.0,50750.0,51000.0,474767
2026-01-09,51875.0,52675.0,51250.0,51900.0,408579
2026-01-12,51750.0,52250.0,51150.0,51900.0,388088
2026-01-13,52825.0,53150.0,51750.0,51750.0,506779
2026-01-14,52825.0,53875.0,52750.0,52975.0,363990
2026-01-15,51825.0,53000.0,51550.0,52825.0,209539
2026-01-16,52150.0,52775.0,51425.0,51800.0,173505
2026-01-19,51625.0,52100.0,51200.0,52100.0,51449
2026-01-20,52675.0,53250.0,50650.0,51575.0,329267
2026-01-21,54000.0,54250.0,52800.0,52800.0,261460
2026-01-22,53825.0,54600.0,53275.0,53975.0,285357
2026-01-23,55150.0,55650.0,53550.0,53900.0,331418
2026-01-26,55275.0,56500.0,54850.0,55075.0,327815
2026-01-27,57725.0,57800.0,55175.0,55300.0,539366
2026-01-28,58050.0,58650.0,57250.0,57750.0,365242
2026-01-29,59075.0,59500.0,57000.0,58400.0,515182
2026-01-30,59700.0,60600.0,58400.0,58975.0,652002
2026-02-02,57975.0,59300.0,57200.0,58200.0,311206
2026-02-03,57125.0,58200.0,56225.0,57950.0,394454
2026-02-04,58375.0,59000.0,57000.0,57800.0,342545
2026-02-05,56425.0,58500.0,56200.0,58000.0,295024
2026-02-06,56900.0,58300.0,56500.0,56500.0,237741
2026-02-09,56675.0,57500.0,55350.0,56900.0,381759
2026-02-10,58125.0,58600.0,55550.0,56675.0,369106
2026-02-11,57725.0,58900.0,57100.0,58900.0,272808
2026-02-12,55250.0,58150.0,54875.0,57725.0,267085
